iter	RMSE
0	16.48256145
1	15.156337
2	14.09511323
3	13.24044247
4	12.54230519
5	12.00426456
6	11.60291023
7	11.28907356
8	11.06311481
9	10.87741227
10	10.72955012
11	10.62005515
12	10.53291752
13	10.45693398
14	10.4048593
15	10.3585187
16	10.30297792
17	10.26975143
18	10.2457924
19	10.22618973
20	10.20739504
21	10.18302384
22	10.16992132
23	10.15618455
24	10.12769854
25	10.11676472
26	10.1055739
27	10.08039588
28	10.07099597
29	10.06122044
30	10.0387868
31	10.03223133
32	10.02443804
33	10.00879153
34	9.999782773
35	9.989868904
36	9.974255699
37	9.967149068
38	9.958441054
39	9.946808009
40	9.941741865
41	9.93823353
42	9.929627846
43	9.923652894
44	9.911965483
45	9.902202337
46	9.893579186
47	9.887814602
48	9.879747199
49	9.870680157
50	9.866115834
51	9.862203196
52	9.850634895
53	9.842841924
54	9.841317374
55	9.834433809
56	9.827486429
57	9.821478519
58	9.81127429
59	9.802808362
60	9.797095129
61	9.791465423
62	9.787793495
63	9.778208482
64	9.77321776
65	9.770242377
66	9.763763944
67	9.760742733
68	9.755470142
69	9.749713369
70	9.744505013
71	9.740009478
72	9.7362738
73	9.731377403
74	9.72696429
75	9.721244359
76	9.718805004
77	9.713970873
78	9.711647242
79	9.70529209
80	9.6992219
81	9.693298638
82	9.688271902
83	9.681709863
84	9.676268683
85	9.672062744
86	9.668452972
87	9.664041865
88	9.658451021
89	9.654490045
90	9.649928287
91	9.645729316
92	9.637408457
93	9.631758061
94	9.625420741
95	9.621902285
96	9.619263567
97	9.61517449
98	9.609875806
99	9.606176004
100	9.600857067
101	9.598033849
102	9.594573043
103	9.59120825
104	9.587857078
105	9.583461379
106	9.58027024
107	9.57323435
108	9.56961812
109	9.562977834
110	9.559883021
111	9.555407257
112	9.550245312
113	9.544895328
114	9.542272494
115	9.537650699
116	9.533393912
117	9.527136331
118	9.52234005
119	9.516225671
120	9.510833329
121	9.507414502
122	9.502322999
123	9.495911197
124	9.490746862
125	9.487189518
126	9.479907121
127	9.475508659
128	9.470402696
129	9.467782137
130	9.464032472
131	9.460257184
132	9.455779295
133	9.452154527
134	9.447768972
135	9.444087925
136	9.436517846
137	9.432365162
138	9.428278764
139	9.425726547
140	9.42220715
141	9.417511295
142	9.414293413
143	9.411015951
144	9.407119893
145	9.403654943
146	9.399330135
147	9.394602166
148	9.391591228
149	9.388175789
150	9.385450726
151	9.379867401
152	9.377976537
153	9.374284486
154	9.370094605
155	9.367178726
156	9.362654197
157	9.359477877
158	9.355369185
159	9.353489191
160	9.350097796
161	9.345170141
162	9.342805118
163	9.337034015
164	9.332651196
165	9.329350948
166	9.324100879
167	9.322183226
168	9.315917053
169	9.311718394
170	9.304378132
171	9.300488901
172	9.296248039
173	9.293784805
174	9.289061107
175	9.285058454
176	9.282596754
177	9.278601223
178	9.274396468
179	9.268046669
180	9.264652682
181	9.263651468
182	9.260753838
183	9.258240107
184	9.254741649
185	9.251741799
186	9.247562365
187	9.243192526
188	9.24001583
189	9.236217023
190	9.233524426
191	9.229515346
192	9.22689738
193	9.224250912
194	9.220490539
195	9.218207751
196	9.216771844
197	9.21389199
198	9.211414138
199	9.208099704
200	9.206362594
201	9.202659392
202	9.1985396
203	9.195076238
204	9.191398888
205	9.189860129
206	9.187018415
207	9.184861427
208	9.180516007
209	9.179232617
210	9.174208946
211	9.171499772
212	9.168501592
213	9.165190717
214	9.16166072
215	9.159434343
216	9.155886575
217	9.151628836
218	9.148560204
219	9.147593166
220	9.145139271
221	9.139941964
222	9.135643375
223	9.131544276
224	9.12922589
225	9.124175064
226	9.121087146
227	9.118656679
228	9.114973345
229	9.11147851
230	9.108766803
231	9.106705142
232	9.102599341
233	9.098122905
234	9.093461018
235	9.088794568
236	9.085550113
237	9.082041174
238	9.078121822
239	9.075553113
240	9.072433228
241	9.069081907
242	9.06635256
243	9.064474809
244	9.060243968
245	9.05746427
246	9.054443192
247	9.050221002
248	9.046296233
249	9.043646789
250	9.041621725
251	9.038816867
252	9.033589585
253	9.029080713
254	9.025678593
255	9.022933584
256	9.020568889
257	9.017947745
258	9.016073629
259	9.014026848
260	9.011191755
261	9.007114632
262	9.004268076
263	9.001844675
264	8.998734766
265	8.995224525
266	8.991363625
267	8.988325613
268	8.985833616
269	8.981231642
270	8.978502899
271	8.973828764
272	8.97078041
273	8.966493772
274	8.961492415
275	8.958147465
276	8.954773391
277	8.950989694
278	8.948795104
279	8.945841043
280	8.943794059
281	8.941473826
282	8.938201561
283	8.93641892
284	8.933657647
285	8.929224039
286	8.928095771
287	8.926750926
288	8.924313445
289	8.919183534
290	8.918029386
291	8.914746794
292	8.912528124
293	8.91003679
294	8.908002098
295	8.905249731
296	8.901964633
297	8.89824468
298	8.895627281
299	8.891639802
300	8.889317015
301	8.886560317
302	8.88388038
303	8.880201388
304	8.876895299
305	8.875100644
306	8.871541777
307	8.868229776
308	8.864844355
309	8.861165338
310	8.85826086
311	8.856561451
312	8.852515466
313	8.849876902
314	8.847523345
315	8.844443241
316	8.841189526
317	8.839057656
318	8.835919848
319	8.832107763
320	8.827809469
321	8.824553932
322	8.821859628
323	8.819219969
324	8.816806804
325	8.813778087
326	8.810002593
327	8.80602228
328	8.804317751
329	8.802020044
330	8.800631152
331	8.799123605
332	8.79724088
333	8.794044849
334	8.79028617
335	8.78686261
336	8.784218411
337	8.781057069
338	8.778120021
339	8.775422486
340	8.773059723
341	8.76980812
342	8.766371707
343	8.762605572
344	8.759988358
345	8.757300259
346	8.75533513
347	8.753847677
348	8.752784966
349	8.748344769
350	8.745688051
351	8.742690992
352	8.740728191
353	8.737103967
354	8.734530619
355	8.733341423
356	8.730838495
357	8.728294293
358	8.724886193
359	8.723264254
360	8.721248777
361	8.718462817
362	8.7165753
363	8.711741355
364	8.70972004
365	8.708003411
366	8.704842905
367	8.700764767
368	8.698794137
369	8.697308899
370	8.695733281
371	8.693591302
372	8.691633436
373	8.688661532
374	8.684098257
375	8.681045814
376	8.677927989
377	8.676707346
378	8.673082184
379	8.669357137
380	8.66702535
381	8.664194117
382	8.661325828
383	8.659060064
384	8.656521608
385	8.654696544
386	8.652302831
387	8.649407963
388	8.647302373
389	8.645339909
390	8.64198005
391	8.639145872
392	8.636444938
393	8.634241858
394	8.632714481
395	8.630638404
396	8.628870676
397	8.62611281
398	8.621320834
399	8.617871375
400	8.61604622
401	8.613100369
402	8.610657791
403	8.60759046
404	8.603916645
405	8.601926344
406	8.599506259
407	8.597431253
408	8.593161192
409	8.59025534
410	8.588317094
411	8.584932993
412	8.583244274
413	8.579841903
414	8.577065846
415	8.575914369
416	8.572430726
417	8.570659191
418	8.565916885
419	8.562099906
420	8.558875583
421	8.555447137
422	8.553313508
423	8.551591597
424	8.548337603
425	8.545908259
426	8.544234294
427	8.541468279
428	8.5387777
429	8.535321469
430	8.532662433
431	8.530278617
432	8.527585762
433	8.524572355
434	8.521602834
435	8.519931115
436	8.5173807
437	8.514646381
438	8.511112092
439	8.508347042
440	8.505428007
441	8.503083112
442	8.500767113
443	8.498818999
444	8.496896147
445	8.494816795
446	8.491855489
447	8.488396822
448	8.485452965
449	8.483369083
450	8.479637255
451	8.476722403
452	8.474308835
453	8.472427924
454	8.468661886
455	8.466271676
456	8.462240568
457	8.459796375
458	8.458045317
459	8.456405299
460	8.454497589
461	8.452723714
462	8.450551427
463	8.447425123
464	8.445139772
465	8.442384979
466	8.441489031
467	8.439339179
468	8.435395647
469	8.433781875
470	8.431447893
471	8.429353306
472	8.427328756
473	8.422036112
474	8.418587986
475	8.415493718
476	8.412894209
477	8.41032486
478	8.407907292
479	8.406193417
480	8.403879388
481	8.400321807
482	8.396517811
483	8.394638016
484	8.392199486
485	8.390350253
486	8.388778378
487	8.387277855
488	8.38438929
489	8.381200833
490	8.378815013
491	8.376249471
492	8.374606968
493	8.372045412
494	8.368957018
495	8.36675935
496	8.364517406
497	8.361766206
498	8.358664083
499	8.355430789
