iter	Passed	Remaining
0	228	113957
1	369	92074
2	496	82243
3	635	78832
4	761	75414
5	886	72990
6	1016	71619
7	1145	70430
8	1271	69368
9	1399	68595
10	1540	68500
11	1690	68740
12	1825	68381
13	1961	68102
14	2088	67523
15	2240	67763
16	2379	67598
17	2527	67674
18	2664	67463
19	2802	67252
20	2974	67844
21	3131	68040
22	3270	67822
23	3419	67827
24	3567	67775
25	3709	67630
26	3849	67433
27	3977	67041
28	4126	67012
29	4272	66943
30	4422	66910
31	4565	66772
32	4699	66501
33	4833	66243
34	4981	66179
35	5121	66004
36	5284	66128
37	5422	65923
38	5568	65818
39	5709	65660
40	5842	65410
41	5971	65113
42	6099	64826
43	6239	64663
44	6382	64529
45	6525	64407
46	6662	64214
47	6797	64007
48	6942	63901
49	7107	63965
50	7254	63866
51	7389	63665
52	7531	63517
53	7664	63299
54	7727	62524
55	7872	62418
56	8015	62295
57	8152	62124
58	8289	61956
59	8425	61788
60	8570	61680
61	8702	61480
62	8834	61283
63	8977	61155
64	9128	61088
65	9269	60955
66	9398	60736
67	9527	60529
68	9671	60412
69	9812	60277
70	9948	60110
71	10097	60023
72	10232	59850
73	10371	59708
74	10505	59531
75	10645	59392
76	10780	59224
77	10904	58996
78	11038	58825
79	11187	58732
80	11330	58610
81	11486	58554
82	11619	58375
83	11759	58236
84	11888	58043
85	12032	57925
86	12171	57777
87	12313	57648
88	12457	57529
89	12602	57411
90	12745	57283
91	12880	57121
92	13024	57000
93	13156	56824
94	13310	56742
95	13454	56621
96	13589	56461
97	13718	56271
98	13847	56089
99	13987	55948
100	14126	55807
101	14276	55707
102	14427	55609
103	14568	55473
104	14719	55374
105	14856	55220
106	15000	55097
107	15134	54934
108	15279	54808
109	15419	54668
110	15552	54503
111	15690	54355
112	15838	54244
113	15975	54093
114	16117	53957
115	16266	53846
116	16403	53697
117	16555	53595
118	16697	53461
119	16834	53309
120	16980	53187
121	17112	53019
122	17257	52896
123	17401	52764
124	17549	52647
125	17689	52506
126	17838	52392
127	17976	52245
128	18113	52093
129	18254	51955
130	18393	51811
131	18539	51684
132	18668	51513
133	18812	51382
134	18967	51281
135	19100	51121
136	19236	50969
137	19373	50820
138	19503	50651
139	19647	50522
140	19787	50381
141	19935	50259
142	20084	50141
