,popularity
134848,35
43959,50
135390,27
104126,13
58631,26
232611,38
99264,58
181278,30
67821,67
85279,42
119333,57
77426,70
138833,21
29193,29
107295,5
62004,53
88220,52
21243,49
1546,63
50799,36
215163,47
77529,67
216173,47
107252,8
189251,39
215102,46
165014,20
134334,0
176233,39
196027,1
231266,50
185173,32
6805,48
7218,46
231295,41
114529,65
17674,49
126060,37
167270,39
52267,39
113925,28
75003,0
102813,47
79909,20
37257,29
224828,62
61595,46
2097,41
721,55
103428,49
189236,20
158378,53
75341,2
202166,34
124843,0
204336,27
125230,35
175233,12
120850,55
161354,48
20232,58
53660,32
145762,56
173446,20
133880,32
91941,48
224872,60
209521,35
101151,47
140657,56
195038,5
112190,66
131121,54
190071,20
49932,41
141017,51
222928,59
81670,14
55778,9
160563,38
75431,1
61502,49
56070,0
154369,53
105075,4
200556,41
127743,35
168785,27
54419,0
53403,20
116663,57
106689,4
137895,21
152265,85
61266,50
103964,47
229132,51
144178,48
166778,70
206852,24
61129,58
185371,35
72095,20
197984,45
207989,48
71530,23
104588,18
110923,68
217424,35
171865,21
33328,17
55550,2
60150,48
185727,29
133428,30
217158,39
72605,9
130676,33
158608,52
188530,22
9064,86
3630,43
27815,49
8944,34
149053,40
149836,63
14407,65
26446,39
16650,53
58359,4
55122,59
123108,43
21607,47
25002,44
64872,41
124336,0
220785,35
10405,46
124927,37
104193,0
201803,36
167418,44
165461,20
214258,51
161654,42
225341,56
185557,32
72820,5
196709,42
40583,67
145827,55
104503,15
23608,41
92223,52
26065,39
105542,8
12152,53
71729,33
129248,26
63333,43
185885,40
73663,0
202825,38
35662,13
119209,53
24926,37
184873,26
85067,28
20717,43
22942,53
153794,49
60492,55
184659,10
61103,51
220599,32
5662,55
144822,43
208825,37
110542,76
205351,24
201873,28
75107,1
172748,18
14270,67
10601,42
196964,40
144805,49
125345,34
34823,34
17055,56
136965,23
155785,51
46981,38
50822,30
124531,43
43858,61
41849,62
67531,68
96789,58
51832,34
126799,34
193846,7
141548,60
155005,51
97617,54
180049,37
49657,36
115058,70
155776,48
160082,42
185649,32
186106,34
36037,18
79201,55
28905,38
130054,24
126302,39
196493,0
183777,13
166942,77
92169,49
228918,49
613,9
88174,59
173462,14
52710,28
38940,32
229108,50
221222,23
150163,66
152210,72
2057,48
182310,33
55246,61
208905,43
147419,53
34941,30
225677,51
724,48
141909,54
46683,46
189263,23
127739,35
94068,62
116470,61
104382,26
156125,50
59679,49
150150,62
174406,14
224038,61
215616,50
58694,27
16220,61
217091,42
38180,33
88921,55
47363,37
128490,37
57223,53
174341,16
163369,30
16599,56
193164,59
108380,74
15173,62
15321,63
222078,66
204893,28
100273,49
173402,17
228328,49
156128,55
128788,26
134232,34
168395,31
15490,59
158864,48
75820,0
139904,58
125819,33
184833,55
129632,31
66269,51
127787,37
231298,40
105974,9
43440,59
123046,44
10209,49
35563,13
160519,43
74817,0
214716,50
101331,47
94619,64
58937,19
83956,57
153004,53
181289,30
133585,35
111456,66
56745,63
187727,29
122205,54
64299,29
94111,58
172785,18
176959,43
51643,28
112367,66
38199,25
68527,59
130112,35
157444,37
197957,52
153750,60
124037,41
183578,19
174670,14
222173,64
119745,54
184624,13
170980,20
185085,30
74137,0
166103,73
168204,33
13359,39
124195,44
116534,57
81,0
52808,27
31158,24
2316,41
9088,82
194762,7
