,popularity
81486,15
72431,14
181925,48
212906,61
172817,18
103485,46
97891,61
81190,5
105834,8
113847,62
68238,64
69304,62
132903,31
158459,55
16145,60
153610,54
57640,1
112305,60
99568,50
147902,42
53357,29
86285,46
73552,0
116124,62
224113,61
155147,52
63572,47
31631,40
124,0
94102,58
202199,33
69677,60
144642,46
163888,29
54140,58
12243,47
182442,34
95921,59
103792,47
202941,32
171935,19
88652,57
15704,62
38376,28
187845,27
102764,44
25244,47
151822,58
133968,31
205800,32
229835,48
135099,36
111701,69
128396,30
227921,51
75131,0
108606,72
44244,56
4266,42
113324,58
99189,53
142888,45
224201,64
5213,55
230001,49
18753,66
124906,42
15389,68
140780,51
106711,6
20924,46
45968,52
180261,37
207540,50
201556,39
159596,50
161533,26
109058,67
129499,25
162395,30
84325,43
54406,1
206934,23
61702,44
132910,32
60427,48
19256,57
38695,39
114799,66
102147,49
132950,53
90696,50
86868,46
19842,55
201573,28
138215,32
113257,65
225012,45
78346,64
101529,50
225606,52
202309,27
127540,33
211358,12
130607,28
168216,31
176755,45
56448,56
89347,62
227531,52
54545,0
138232,29
132172,40
67993,65
124852,35
174108,15
72687,7
98563,52
175957,41
45263,11
214030,51
139158,67
202674,36
218510,28
7742,38
206413,27
30676,24
37590,38
450,0
215723,50
43967,51
104613,0
152894,67
67865,67
227563,47
81169,13
124298,0
166932,74
139105,75
134396,32
161638,29
180254,38
110310,69
171102,21
52283,36
229048,42
2480,41
115823,63
152664,69
84060,49
108529,77
99307,54
186072,20
185202,27
177258,39
92334,51
85422,41
203835,25
122574,52
93222,68
184297,10
118248,60
153867,67
86024,37
184855,34
17035,70
216672,43
8153,38
214908,54
4114,41
230681,36
177613,2
189879,17
60628,51
220865,24
18584,63
65225,46
68232,63
23240,45
4230,39
13636,76
108733,80
195363,0
217747,35
1864,61
17914,52
139983,52
69484,60
176827,36
226420,56
177934,31
229888,46
118355,55
134825,43
159659,42
124868,38
162813,27
18615,50
127575,32
27052,48
133911,29
169122,30
37799,28
195770,0
183198,36
232642,38
123878,50
73927,0
179499,33
187906,19
23895,44
229908,46
96173,53
199007,41
190170,14
183075,24
158806,44
59372,19
